TeamId,TeamName,SubmissionDate,Score,
7096928,Laura Desplans,2021/7/31 21:41,0.03527,0.03527
7107601,VitalyGatsko,2021/7/25 10:31,0.03534,0.03534
7090870,CynthV,2021/7/30 8:25,0.0357,0.0357
7144044,Shyam Valsan,2021/7/30 10:29,0.03595,0.03595
7035880,BIZEN,2021/7/31 5:25,0.03655,0.03655
7037756,kokido,2021/7/31 23:05,0.03665,0.03665
7056329,Sol,2021/7/31 6:33,0.03666,0.03666
7143572,Seyed ali hejazyan,2021/7/25 17:07,0.03667,0.03667
7069214,SeongwookLee,2021/7/28 0:31,0.03667,0.03667
7166146,Kimi Sailing on a Reed,2021/7/30 22:56,0.03669,0.03669
7043079,Akmal Mir,2021/7/31 0:30,0.0367,0.0367
7037495,Jun Hyeok Park,2021/7/28 8:16,0.0368,0.0368
7038676,mani moses,2021/7/31 18:54,0.0368,0.0368
7042849,Prevision.io,2021/7/30 6:48,0.03682,0.03682
7036390,Harsh Kaushik,2021/7/29 7:53,0.03685,0.03685
7041598,Vitor Mello,2021/7/29 21:35,0.03685,0.03685
7157757,Kamal Das,2021/7/30 4:53,0.03685,0.03685
7055045,Rijndael,2021/7/30 13:31,0.03685,0.03685
7035943,slyzszg,2021/7/31 14:11,0.03685,0.03685
7110884,Gautam Gottipati,2021/7/31 15:54,0.03685,0.03685
7036076,Yue Sun,2021/7/30 23:05,0.03686,0.03686
7045612,YusukeOnishi,2021/7/24 14:28,0.03687,0.03687
7036503,Hikmet Sezen,2021/7/31 19:32,0.03687,0.03687
7036312,kailai,2021/7/30 20:34,0.03688,0.03688
7040916,Adeyinka Michael Sotunde,2021/7/29 17:08,0.03692,0.03692
7035852,alperylmz,2021/7/31 23:37,0.03696,0.03696
7040536,"LightAutoML, pseudo and leak",2021/7/25 22:51,0.03698,0.03698
7108372,HandsomePan,2021/7/24 5:56,0.03698,0.03698
7038316,Ksenya,2021/7/30 7:17,0.03698,0.03698
7060177,Rajat Gupta,2021/7/27 20:37,0.03699,0.03699
7040771,Solomon Kimunyu Ndegwa,2021/7/30 17:28,0.03699,0.03699
7035980,Alampal Singh,2021/7/31 6:47,0.037,0.037
7113328,Tondo,2021/7/27 21:24,0.03705,0.03705
7087576,Sokolov Aleksandr LightAutoML],2021/7/31 15:31,0.03709,0.03709
7040848,Jose Pérez Cano,2021/7/22 15:28,0.03712,0.03712
7037726,Omar Bougacha,2021/7/22 15:53,0.03712,0.03712
7042482,Tarun Saxena,2021/7/22 16:32,0.03712,0.03712
7043063,HaiDuong,2021/7/23 4:47,0.03712,0.03712
7037249,Vivan,2021/7/23 7:48,0.03712,0.03712
7040099,Anish Ghiya,2021/7/23 9:23,0.03712,0.03712
7045840,esp_medico,2021/7/23 13:53,0.03712,0.03712
7110912,JOSHUAZZ,2021/7/23 16:07,0.03712,0.03712
7043057,Alex Maszanski,2021/7/23 16:55,0.03712,0.03712
7042417,3 kool aliens,2021/7/24 8:53,0.03712,0.03712
7139803,Sam Johnnie,2021/7/24 14:13,0.03712,0.03712
7141591,ROSHAN KUMAR G,2021/7/25 5:51,0.03712,0.03712
7054035,Abid Ali Awan,2021/7/30 15:24,0.03712,0.03712
7092885,mama,2021/7/31 1:11,0.03712,0.03712
7036422,Siti Khotijah,2021/7/27 11:20,0.03712,0.03712
7096405,Vadim VS,2021/7/28 13:36,0.03712,0.03712
7100059,jenil savani,2021/7/27 15:33,0.03712,0.03712
7045753,changwoomon,2021/7/30 17:15,0.03712,0.03712
7156346,Prajwal Sood,2021/7/28 12:39,0.03712,0.03712
7051878,Anush krishna,2021/7/29 2:41,0.03712,0.03712
7082613,Rishi Patel,2021/7/29 4:59,0.03712,0.03712
7039067,"don’t mind me , i'am overfitting",2021/7/30 22:24,0.03712,0.03712
7075483,Tarun Bisht,2021/7/31 16:16,0.03712,0.03712
7167525,Gaurav Singh #2,2021/7/31 18:35,0.03712,0.03712
7053766,abracadata,2021/7/24 18:57,0.03712,0.03712
7035857,Alin Cijov,2021/7/29 0:35,0.03712,0.03712
7142046,Leon Sakakibara,2021/7/31 20:07,0.03713,0.03713
7039735,Saurav Joshi,2021/7/31 19:28,0.03714,0.03714
7035915,David Roberts,2021/7/25 1:30,0.03717,0.03717
7035841,Pranjal Verma,2021/7/31 19:07,0.03719,0.03719
7039646,kingkong153,2021/7/23 17:25,0.03726,0.03726
7039383,MOMOTARO,2021/7/31 20:01,0.03733,0.03733
7046616,Haiyun Hu,2021/7/31 5:43,0.03733,0.03733
7038013,Dr. Amritpal Singh,2021/7/24 6:59,0.03737,0.03737
7038056,Dmitry Uarov,2021/7/31 9:30,0.03744,0.03744
7091232,Adeel Zafar,2021/7/30 9:15,0.03755,0.03755
7072219,Ivan,2021/7/27 12:36,0.03762,0.03762
7060970,Soma_Onishi,2021/7/22 5:03,0.03763,0.03763
7037229,Meh,2021/7/27 9:00,0.03768,0.03768
7147784,Jan Carlo Tinaja,2021/7/27 6:42,0.03769,0.03769
7128568,Jesuz19,2021/7/21 22:30,0.03774,0.03774
7050898,guang,2021/7/30 15:03,0.03775,0.03775
7101778,Bhupender Singh,2021/7/28 14:16,0.03775,0.03775
7060723,zoilooo,2021/7/20 9:05,0.03775,0.03775
7121242,Dianwen (David) Zhao,2021/7/20 6:35,0.03775,0.03775
7084064,Suyash Pratap Singh,2021/7/20 7:01,0.03775,0.03775
7124095,Preeti Rana,2021/7/21 7:19,0.03775,0.03775
7045975,Will Soares,2021/7/21 17:16,0.03775,0.03775
7130062,Arnab Dey,2021/7/22 5:57,0.03775,0.03775
7035911,tharun_01,2021/7/29 15:10,0.03778,0.03778
7068771,Sun of beach,2021/7/21 8:02,0.03779,0.03779
7104554,team_a,2021/7/20 14:50,0.03779,0.03779
7137198,Jiawei Zhang,2021/7/25 18:05,0.0378,0.0378
7130291,[Deleted] ed7e0698-d860-47c6-848d-88bec90a8a04,2021/7/23 9:37,0.03781,0.03781
7095024,Mind Masters,2021/7/30 8:21,0.03781,0.03781
7058620,KritiDoneria,2021/7/19 19:55,0.03782,0.03782
7036707,blue7red,2021/7/27 17:18,0.03782,0.03782
7121750,Marek Nurzynski,2021/7/31 13:45,0.03786,0.03786
7060356,DXC1G,2021/7/26 5:30,0.03789,0.03789
7138559,Bifanghui_Oak,2021/7/24 8:40,0.038,0.038
7036178,slow5620,2021/7/25 3:48,0.03802,0.03802
7037196,Leaky Leaky,2021/7/19 5:27,0.03817,0.03817
7102677,mm-lab,2021/7/23 0:50,0.03821,0.03821
7136939,Hemendra Jarma,2021/7/24 17:41,0.03829,0.03829
7071115,Patrick Chan,2021/7/26 10:25,0.03852,0.03852
7084433,Ujjwal Sharma,2021/7/21 12:40,0.03856,0.03856
7148325,Szilárd Kálosi,2021/7/26 16:26,0.03859,0.03859
7121329,team_b,2021/7/30 10:44,0.0386,0.0386
7041256,Diogo Santiago,2021/7/28 18:08,0.03862,0.03862
7161986,Swati Sonal,2021/7/29 19:51,0.03871,0.03871
7046012,Chandrashekhar,2021/7/31 12:46,0.03871,0.03871
7088702,Vipin Kumar,2021/7/31 18:39,0.03871,0.03871
7092540,Sidharth Kumar Mohanty,2021/7/27 17:33,0.03873,0.03873
7134892,Alexander Bulygin,2021/7/31 17:13,0.03877,0.03877
7061780,Dmitry Z,2021/7/31 17:33,0.03879,0.03879
7046111,Aditya Sharma,2021/7/30 20:04,0.03883,0.03883
7046688,Brenno Lins,2021/7/23 1:28,0.0396,0.0396
7119135,Satoshi,2021/7/28 17:39,0.03995,0.03995
7126247,Debadri Basak,2021/7/21 12:24,0.04012,0.04012
7112895,hungnm,2021/7/26 0:46,0.04012,0.04012
7150117,shimu takuya,2021/7/27 3:56,0.04012,0.04012
7154335,Washet Hustony,2021/7/28 3:28,0.04012,0.04012
7154358,Moon wao hong Cheon,2021/7/28 3:37,0.04012,0.04012
7155325,Marrak Stephan,2021/7/28 7:59,0.04012,0.04012
7121277,Bisola Olasehinde,2021/7/28 13:23,0.04036,0.04036
7162153,Mohamed Amine Slimane,2021/7/31 18:06,0.04057,0.04057
7149727,XXXXYG,2021/7/29 3:24,0.04552,0.04552
7096590,Alehandreus,2021/7/27 18:14,0.04722,0.04722
7054532,Equipo_Rocket,2021/7/31 23:45,0.04989,0.04989
7042342,A SURESH,2021/7/24 19:26,0.05315,0.05315
7149388,Mikayil Yusubov,2021/7/27 9:24,0.05315,0.05315
7095741,PK,2021/7/29 14:00,0.05453,0.05453
7053845,][,2021/7/29 12:55,0.05592,0.05592
